Tm	Rec_ID	AvgTamb	AvgHamb	AvgGSi00	AvgTSi00	AvgSPN1_G	AvgSPN1_D	AvgWind_S	AvgWind_D	AvgAir_P	AvgTmod
2015-06-14 01:52:00	156499	27.677	90.085	-0.466	26.530	3.922	3.735	0.167	107.802	1004.017	26.561
2015-06-14 01:53:00	156500	27.681	90.170	-0.272	26.559	3.694	3.477	0.233	148.542	1003.944	26.562
2015-06-14 01:54:00	156501	27.682	90.117	-0.386	26.565	3.479	3.330	0.219	112.621	1003.973	26.549
2015-06-14 01:55:00	156502	27.679	89.802	-0.324	26.613	3.411	3.399	0.540	101.226	1003.974	26.559
2015-06-14 01:56:00	156503	27.689	89.596	-0.378	26.678	3.449	3.405	0.490	102.407	1003.930	26.594
2015-06-14 01:57:00	156504	27.703	89.643	-0.288	26.699	3.258	3.357	0.119	167.015	1003.920	26.607
2015-06-14 01:58:00	156505	27.704	89.648	-0.369	26.661	3.488	3.470	0.077	222.735	1003.930	26.595
2015-06-14 01:59:00	156506	27.692	89.672	-0.414	26.634	3.592	3.601	-0.016	110.150	1003.920	26.584
2015-06-14 02:00:00	156507	27.693	89.681	-0.291	26.657	3.648	3.310	0.462	122.795	1003.916	26.617
2015-06-14 02:01:00	156508	27.709	89.684	-0.444	26.717	3.513	3.265	0.377	69.800	1003.897	26.682
2015-06-14 02:02:00	156509	27.732	89.669	-0.285	26.750	3.378	3.384	-0.013	181.152	1003.898	26.721
2015-06-14 02:03:00	156510	27.728	89.179	-0.282	26.726	3.414	3.395	0.268	240.536	1003.900	26.710
2015-06-14 02:04:00	156511	27.701	88.980	-0.490	26.690	3.803	3.761	0.273	244.147	1003.930	26.686
2015-06-14 02:05:00	156512	27.661	88.874	-0.366	26.659	4.013	3.897	0.569	254.848	1003.894	26.665
2015-06-14 02:06:00	156513	27.612	89.065	-0.376	26.637	4.250	3.969	0.500	262.117	1003.896	26.654
2015-06-14 02:07:00	156514	27.561	89.311	-0.345	26.612	4.191	3.940	0.289	251.352	1003.883	26.643
2015-06-14 02:08:00	156515	27.514	89.594	-0.270	26.591	4.423	4.083	0.427	270.184	1003.883	26.634
2015-06-14 02:09:00	156516	27.474	89.763	-0.359	26.576	4.200	4.241	0.271	246.383	1003.904	26.634
2015-06-14 02:10:00	156517	27.432	89.847	-0.467	26.561	4.447	4.250	0.490	250.748	1003.880	26.636
2015-06-14 02:11:00	156518	27.388	89.909	-0.393	26.543	4.404	4.197	0.471	258.290	1003.871	26.631
2015-06-14 02:12:00	156519	27.350	90.216	-0.160	26.534	4.355	4.128	0.450	272.440	1003.878	26.633
2015-06-14 02:13:00	156520	27.330	90.642	-0.336	26.533	4.217	4.058	0.338	276.374	1003.851	26.642
2015-06-14 02:14:00	156521	27.331	90.812	-0.274	26.553	4.065	3.858	0.248	266.112	1003.864	26.666
2015-06-14 02:15:00	156522	27.316	90.347	-0.406	26.534	4.055	3.723	0.504	268.379	1003.906	26.657
2015-06-14 02:16:00	156523	27.278	90.183	-0.159	26.501	4.494	4.062	0.651	273.042	1003.850	26.640
2015-06-14 02:17:00	156524	27.238	90.339	-0.423	26.479	4.420	4.205	0.662	268.107	1003.893	26.628
2015-06-14 02:18:00	156525	27.203	90.490	-0.479	26.455	4.369	4.119	0.838	270.188	1003.851	26.616
2015-06-14 02:19:00	156526	27.168	90.645	-0.392	26.427	4.472	4.232	0.988	276.257	1003.836	26.605
2015-06-14 02:20:00	156527	27.133	90.810	-0.280	26.395	4.527	4.141	0.993	271.871	1003.835	26.592
2015-06-14 02:21:00	156528	27.101	91.046	-0.258	26.364	4.531	4.285	0.679	263.279	1003.780	26.578
2015-06-14 02:22:00	156529	27.086	91.313	-0.403	26.341	4.436	4.303	0.302	240.965	1003.773	26.569
2015-06-14 02:23:00	156530	27.074	91.398	-0.390	26.311	4.369	4.067	0.403	282.398	1003.742	26.554
2015-06-14 02:24:00	156531	27.064	91.470	-0.263	26.293	4.543	4.445	0.322	243.697	1003.775	26.535
2015-06-14 02:25:00	156532	27.053	91.506	-0.443	26.287	4.232	4.038	0.059	147.412	1003.758	26.523
2015-06-14 02:26:00	156533	27.055	91.542	-0.439	26.287	4.189	4.017	-0.001	196.921	1003.748	26.521
2015-06-14 02:27:00	156534	27.060	91.621	-0.429	26.272	4.072	3.971	0.283	263.892	1003.712	26.512
2015-06-14 02:28:00	156535	27.060	91.484	-0.358	26.266	4.013	3.891	-0.070	203.590	1003.716	26.509
2015-06-14 02:29:00	156536	27.054	91.352	-0.369	26.254	4.227	3.938	0.039	181.560	1003.748	26.500
2015-06-14 02:30:00	156537	27.051	91.472	-0.292	26.226	4.194	3.969	0.127	236.669	1003.718	26.480
2015-06-14 02:31:00	156538	27.058	91.658	-0.094	26.202	4.136	4.008	0.044	275.012	1003.727	26.468
2015-06-14 02:32:00	156539	27.062	91.584	-0.222	26.165	4.231	4.101	0.021	269.986	1003.716	26.451
2015-06-14 02:33:00	156540	27.056	91.485	-0.203	26.119	4.352	4.116	0.008	249.114	1003.717	26.422
2015-06-14 02:34:00	156541	27.048	91.504	-0.444	26.074	4.512	4.166	0.020	274.826	1003.699	26.392
2015-06-14 02:35:00	156542	27.042	91.461	-0.474	26.024	4.506	4.385	0.070	273.834	1003.615	26.359
2015-06-14 02:36:00	156543	27.034	91.503	-0.424	25.977	4.434	4.069	0.196	239.067	1003.614	26.321
2015-06-14 02:37:00	156544	27.026	91.525	-0.324	25.936	4.515	4.217	-0.026	253.612	1003.633	26.286
2015-06-14 02:38:00	156545	27.024	91.573	-0.283	25.886	4.534	4.488	-0.033	271.783	1003.529	26.247
2015-06-14 02:39:00	156546	27.021	91.557	-0.399	25.822	4.486	4.225	-0.122	162.534	1003.567	26.202
2015-06-14 02:40:00	156547	27.006	91.270	-0.705	25.777	4.716	4.303	-0.076	167.777	1003.534	26.157
2015-06-14 02:41:00	156548	27.012	91.554	-0.453	25.739	4.609	4.322	0.068	257.062	1003.466	26.121
2015-06-14 02:42:00	156549	27.030	91.845	-0.469	25.719	4.395	4.279	0.269	269.694	1003.500	26.100
